date,countNodes
2023-05-30,148
2023-05-31,148
2023-06-01,147
2023-06-02,144
2023-06-03,146
2023-06-04,148
2023-06-05,149
2023-06-06,147
2023-06-07,146
2023-06-08,149
2023-06-09,149
2023-06-10,148
2023-06-11,150
2023-06-12,148
2023-06-13,150
2023-06-14,151
2023-06-15,163
2023-06-16,165
2023-06-17,167
2023-06-18,163
2023-06-19,164
2023-06-20,166
2023-06-21,166
2023-06-22,167
2023-06-23,168
2023-06-24,167
2023-06-25,167
2023-06-26,164
2023-06-27,172
2023-06-28,171
2023-06-29,168
2023-06-30,167
2023-07-01,170
2023-07-02,167
2023-07-03,169
2023-07-04,166
2023-07-05,166
2023-07-06,162
2023-07-07,165
2023-07-08,162
2023-07-09,170
2023-07-10,168
2023-07-11,166
2023-07-12,164
2023-07-13,164
2023-07-14,167
2023-07-15,164
2023-07-16,165
2023-07-17,166
2023-07-18,164
2023-07-19,167
2023-07-20,165
2023-07-21,163
2023-07-22,164
2023-07-23,165
2023-07-24,164
2023-07-25,165
2023-07-26,164
2023-07-27,166
2023-07-28,166
2023-07-29,163
2023-07-30,166
2023-07-31,164
2023-08-01,164
2023-08-02,164
2023-08-03,163
2023-08-04,161
2023-08-04,159
2023-08-05,161
2023-08-06,160
2023-08-07,161
2023-08-08,157
2023-08-09,157
2023-08-10,161
2023-08-11,164
2023-08-12,159
2023-08-13,159
2023-08-14,162
2023-08-15,165
2023-08-16,163
2023-08-17,160
2023-08-18,163
2023-08-19,166
2023-08-20,163
2023-08-21,162
2023-08-22,163
2023-08-23,163
2023-08-24,163
2023-08-25,164
2023-08-26,164
2023-08-27,167
2023-08-28,164
2023-08-29,166
2023-08-30,160
2023-08-31,159
2023-09-01,157
2023-09-02,156
2023-09-03,159
2023-09-04,154
2023-09-05,150
2023-09-06,149
2023-09-07,151
2023-09-08,149
2023-09-09,150
2023-09-10,150
2023-09-11,156
2023-09-12,157
2023-09-13,158
2023-09-14,155
2023-09-15,147
2023-09-16,147
2023-09-17,148
2023-09-18,151
2023-09-19,151
2023-09-20,151
2023-09-21,150
2023-09-22,150
2023-09-23,149
2023-09-24,149
2023-09-25,151
2023-09-26,148
2023-09-27,153
2023-09-28,155
2023-09-29,152
2023-09-30,152
2023-10-01,153
2023-10-02,151
2023-10-03,151
2023-10-04,146
2023-10-05,149
2023-10-06,147
2023-10-07,150
2023-10-08,150
2023-10-09,148
2023-10-10,147
2023-10-11,148
2023-10-12,146
2023-10-13,147
2023-10-14,147
2023-10-15,151
2023-10-16,149
2023-10-17,145
2023-10-18,149
2023-10-19,147
2023-10-20,150
2023-10-21,149
2023-10-22,150
2023-10-23,150
2023-10-24,150
2023-10-25,149
2023-10-26,152
2023-10-27,151
2023-10-28,148
2023-10-29,151
2023-10-30,150
2023-10-31,151
2023-11-01,155
2023-11-02,156
2023-11-03,158
2023-11-04,156
2023-11-05,156
2023-11-06,154
2023-11-07,153
2023-11-08,150
2023-11-09,152
2023-11-10,153
2023-11-11,152
2023-11-12,152
2023-11-13,152
2023-11-14,154
2023-11-15,156
2023-11-16,155
2023-11-17,154
2023-11-18,154
2023-11-19,155
2023-11-20,152
2023-11-21,153
2023-11-22,155
2023-11-23,153
2023-11-24,157
2023-11-25,153
2023-11-26,154
2023-11-27,154
2023-11-28,155
2023-11-29,152
2023-11-30,151
2023-12-01,147
2023-12-02,150
2023-12-03,150
2023-12-04,151
2023-12-05,146
2023-12-06,146
2023-12-07,149
2023-12-08,147
2023-12-09,148
2023-12-10,142
2023-12-11,142
2023-12-12,146
2023-12-13,143
2023-12-14,141
2023-12-15,142
2023-12-16,141
2023-12-17,145
2023-12-18,143
2023-12-19,146
2023-12-20,145
2023-12-21,144
2023-12-22,144
2023-12-23,145
2023-12-24,146
2023-12-25,145
2023-12-26,147
2023-12-27,146
2023-12-28,148
2023-12-29,147
2023-12-30,145
2023-12-31,148
2024-01-01,145
2024-01-02,147
2024-01-03,146
2024-01-04,145
2024-01-05,144
2024-01-06,142
2024-01-07,145
2024-01-08,144
2024-01-09,146
2024-01-10,147
2024-01-11,145
2024-01-12,145
2024-01-13,150
2024-01-14,146
2024-01-15,148
2024-01-16,150
2024-01-17,147
2024-01-18,140
2024-01-19,142
2024-01-20,139
2024-01-21,139
2024-01-22,139
2024-01-23,139
2024-01-24,139
2024-01-25,138
2024-01-26,136
2024-01-27,139
2024-01-28,137
2024-01-29,135
2024-01-30,140
2024-01-31,136
2024-02-01,137
2024-02-02,136
2024-02-03,137
2024-02-04,137
2024-02-05,133
2024-02-06,137
2024-02-07,140
2024-02-08,139
2024-02-09,137
2024-02-10,138
2024-02-11,137
2024-02-12,138
2024-02-13,138
2024-02-14,142
2024-02-15,142
2024-02-16,140
2024-02-17,138
2024-02-18,140
2024-02-19,137
2024-02-20,137
2024-02-21,135
2024-02-22,136
2024-02-23,137
2024-02-24,138
2024-02-25,136
2024-02-26,135
2024-02-27,138
2024-02-28,135
2024-02-29,133
2024-02-29,136
2024-03-01,134
2024-03-02,133
2024-03-03,133
2024-03-04,133
2024-03-05,131
2024-03-06,132
2024-03-07,127
2024-03-08,130
2024-03-09,130
2024-03-10,129
2024-03-11,132
2024-03-12,132
2024-03-13,133
2024-03-14,132
2024-03-15,134
2024-03-16,134
2024-03-17,135
2024-03-18,134
2024-03-19,133
2024-03-20,135
2024-03-21,136
2024-03-22,126
2024-03-23,128
2024-03-24,130
2024-03-25,129
2024-03-26,131
2024-03-27,130
2024-03-28,126
2024-03-29,130
2024-03-30,130
2024-03-31,130
2024-04-01,130
2024-04-02,129
2024-04-03,127
2024-04-04,128
2024-04-05,127
2024-04-06,128
2024-04-07,124
2024-04-08,127
2024-04-09,126
2024-04-10,126
2024-04-11,126
2024-04-12,128
2024-04-13,127
2024-04-14,126
2024-04-15,128
2024-04-16,125
2024-04-17,127
2024-04-18,127
2024-04-19,126
2024-04-20,128
2024-04-21,128
2024-04-22,131
2024-04-23,129
2024-04-24,131
2024-04-25,133
2024-04-26,134
2024-04-27,132
2024-04-28,133
2024-04-29,133
2024-04-30,130
2024-05-01,133
2024-05-02,133
2024-05-03,134
2024-05-04,133
2024-05-05,135
2024-05-06,137
2024-05-07,137
2024-05-08,135
2024-05-09,135
2024-05-10,133
2024-05-11,134
2024-05-12,135
2024-05-13,135
2024-05-14,133
2024-05-15,133
2024-05-16,132
2024-05-17,122
2024-05-18,112
2024-05-19,111
2024-05-20,111
2024-05-21,109
2024-05-22,100
2024-05-23,96
2024-05-24,97
2024-05-25,98
2024-05-26,95
2024-05-27,95
2024-05-28,94
2024-05-29,93
2024-05-30,93
2024-05-31,95
2024-06-01,94
2024-06-02,92
2024-06-03,93
2024-06-04,92
2024-06-05,93
2024-06-06,90
2024-06-07,90
2024-06-08,82
2024-06-09,83
2024-06-10,85
2024-06-11,125
2024-06-12,126
2024-06-13,126
2024-06-14,129
2024-06-15,127
2024-06-16,127
2024-06-17,128
2024-06-18,128
2024-06-19,130
2024-06-20,127
2024-06-21,130
2024-06-22,129
2024-06-23,129
2024-06-24,127
2024-06-25,128
2024-06-26,129
2024-06-27,130
2024-06-28,129
2024-06-29,128
2024-06-30,129
2024-07-01,128
2024-07-02,125
2024-07-03,125
2024-07-04,125
2024-07-05,123
2024-07-06,125
2024-07-07,124
2024-07-08,125
2024-07-09,122
2024-07-10,125
2024-07-11,125
2024-07-12,124
2024-07-13,125
2024-07-14,125
2024-07-15,124
2024-07-16,124
2024-07-17,124
2024-07-18,121
2024-07-19,122
2024-07-20,122
2024-07-21,123
2024-07-22,122
2024-07-23,124
2024-07-24,123
2024-07-25,124
2024-07-26,121
2024-07-27,120
2024-07-28,122
2024-07-29,120
2024-07-30,121
2024-07-31,124
2024-08-01,124
2024-08-02,122
2024-08-03,121
2024-08-04,119
2024-08-05,121
2024-08-06,116
2024-08-07,114
2024-08-08,114
2024-08-09,115
2024-08-10,119
2024-08-11,117
2024-08-12,116
2024-08-13,118
2024-08-14,116
2024-08-15,115
2024-08-16,116
2024-08-17,121
2024-08-18,121
2024-08-19,120
2024-08-20,121
2024-08-21,123
2024-08-22,121
2024-08-23,122
2024-08-24,122
2024-08-25,123
2024-08-26,123
2024-08-27,121
2024-08-28,121
2024-08-29,121
2024-08-30,122
2024-08-31,122
2024-09-01,120
2024-09-02,122
2024-09-03,123
2024-09-04,123
2024-09-05,121
2024-09-06,125
2024-09-07,125
2024-09-08,127
2024-09-09,125
2024-09-10,123
2024-09-11,121
2024-09-12,120
2024-09-13,120
2024-09-14,123
2024-09-15,121
2024-09-16,121
2024-09-17,122
2024-09-18,123
2024-09-19,123
2024-09-20,119
2024-09-21,121
2024-09-22,121
2024-09-23,119
2024-09-24,115
2024-09-25,121
2024-09-26,121
2024-09-27,119
2024-09-28,117
2024-09-29,119
2024-09-30,119
2024-10-01,119
2024-10-02,118
2024-10-03,120
2024-10-04,120
2024-10-05,120
2024-10-06,118
2024-10-07,121
2024-10-08,119
2024-10-09,120
2024-10-10,121
2024-10-11,119
2024-10-12,119
2024-10-13,121
2024-10-14,121
2024-10-15,122
2024-10-16,122
2024-10-17,122
2024-10-18,123
2024-10-19,122
2024-10-20,123
2024-10-21,121
